target,model,test_year,feature,mean_abs_shap,mean_shap,importance_rank
Top10,M2S_symmetric_gain_loss,2024,driver_incident_rate_last10,0.001534250355109423,-0.0008624584542736187,11.0
Top10,M2S_symmetric_gain_loss,2024,driver_previous_starts,0.0787208998541097,0.048604265964300244,7.0
Top10,M2S_symmetric_gain_loss,2024,exposure_history_count,0.004961841608586386,-0.0002392818108545856,10.0
Top10,M2S_symmetric_gain_loss,2024,DriverId,0.1734580236980137,0.017941604768940262,4.0
Top10,M2S_symmetric_gain_loss,2024,TeamId,0.4242514758746262,0.18287337701347287,2.0
Top10,M2S_symmetric_gain_loss,2024,location,0.02959148916475118,0.015152693378894636,9.0
Top10,M2S_symmetric_gain_loss,2024,season,0.10698255359306369,-0.10698255359306369,6.0
Top10,M2S_symmetric_gain_loss,2024,net_recent_deviation,0.03979776054798779,-0.0003962213062067292,8.0
Top10,M2A_asymmetric_gain_loss,2024,qualifying_position,0.6336334559732684,-0.006140628339890778,1.0
Top10,M2A_asymmetric_gain_loss,2024,driver_points_mean_last3,0.13035176348771335,-0.05863095814772528,5.0
Top10,M2A_asymmetric_gain_loss,2024,team_points_mean_last3,0.19993903780556607,-0.015541326441820909,4.0
Top10,M2A_asymmetric_gain_loss,2024,driver_incident_rate_last10,0.004202115485281302,0.003415646764381075,12.0
Top10,M2A_asymmetric_gain_loss,2024,driver_previous_starts,0.0612826226769717,0.035747456199875134,8.0
Top10,M2A_asymmetric_gain_loss,2024,exposure_history_count,0.012785475367512147,-0.0097385248858586,11.0
Top10,M2A_asymmetric_gain_loss,2024,DriverId,0.25718494080372495,0.030599888816392543,3.0
Top10,M2A_asymmetric_gain_loss,2024,TeamId,0.38916567588155904,0.10404154522497921,2.0
Top10,M2A_asymmetric_gain_loss,2024,location,0.07554801718259943,0.060885690314924246,6.0
Top10,M2A_asymmetric_gain_loss,2024,season,0.07495489805516352,0.0745077171342698,7.0
Top10,M2A_asymmetric_gain_loss,2024,recent_gain_exposure,0.0259330660874875,0.016610196211757213,9.0
Top10,M2A_asymmetric_gain_loss,2024,recent_loss_exposure,0.01690235230057246,-0.0037815787945914385,10.0
Top10,M3S_full_symmetric,2024,qualifying_position,0.6675702958174683,0.01595243603897721,1.0
Top10,M3S_full_symmetric,2024,driver_points_mean_last3,0.1805056515570953,-0.040340387155801696,3.0
Top10,M3S_full_symmetric,2024,team_points_mean_last3,0.17912947160426843,-0.03799827386631583,4.0
Top10,M3S_full_symmetric,2024,driver_incident_rate_last10,0.005084488870658046,-0.0038092563961574268,12.0
Top10,M3S_full_symmetric,2024,driver_previous_starts,0.0995680313083068,0.06799745441837496,6.0
Top10,M3S_full_symmetric,2024,exposure_history_count,0.010458990790983632,-0.00012002784353175795,11.0
Top10,M3S_full_symmetric,2024,DriverId,0.1765110365511836,0.04357341363341696,5.0
Top10,M3S_full_symmetric,2024,TeamId,0.4343812078005429,0.06795131207518726,2.0
Top10,M3S_full_symmetric,2024,location,0.021550252176671347,0.004549241854021454,9.0
Top10,M3S_full_symmetric,2024,season,0.06342609176201305,-0.04313184083741374,7.0
Top10,M3S_full_symmetric,2024,qualifying_surprise,0.021398815133669865,-0.006826028602330754,10.0
Top10,M3S_full_symmetric,2024,net_recent_deviation,0.04923919186552946,-0.00625699409300415,8.0
Top10,M3A_full_asymmetric,2024,qualifying_position,0.703749218436909,-0.004845821042913438,1.0
Top10,M3A_full_asymmetric,2024,driver_points_mean_last3,0.1612556821952219,-0.03315512307935921,5.0
Top10,M3A_full_asymmetric,2024,team_points_mean_last3,0.1818682660871084,-0.02570360542524882,4.0
Top10,M3A_full_asymmetric,2024,driver_incident_rate_last10,0.002627030020041335,-0.0023353829259842975,14.0
Top10,M3A_full_asymmetric,2024,driver_previous_starts,0.10777219162603871,0.06926368936977605,6.0
Top10,M3A_full_asymmetric,2024,exposure_history_count,0.006765941067707027,0.00048790928392445385,12.0
Top10,M3A_full_asymmetric,2024,DriverId,0.20015861458163572,0.009021920235134541,3.0
Top10,M3A_full_asymmetric,2024,TeamId,0.40078878019782577,0.08888782472073586,2.0
Top10,M3A_full_asymmetric,2024,location,0.027242020237744736,-0.01552653641053881,9.0
Top10,M3A_full_asymmetric,2024,season,0.07017192131187973,-0.0663733650235925,7.0
Top10,M3A_full_asymmetric,2024,positive_qualifying_surprise,0.004640945375890182,-0.0014467540868986907,13.0
Top10,M3A_full_asymmetric,2024,negative_qualifying_surprise,0.021602938668631284,0.003191899369021491,11.0
Top10,M3A_full_asymmetric,2024,recent_gain_exposure,0.022844704296359243,0.0010732889391493734,10.0
Top10,M3A_full_asymmetric,2024,recent_loss_exposure,0.043024170574968656,-0.014462708394155241,8.0
Top10,M0_baseline,2025,qualifying_position,0.8615545891347036,0.023759388476505095,1.0
Top10,M0_baseline,2025,driver_points_mean_last3,0.19719967106245226,-0.0023921419352392836,4.0
Top10,M0_baseline,2025,team_points_mean_last3,0.1529165139554586,0.023819756268099766,5.0
Top10,M0_baseline,2025,driver_incident_rate_last10,0.009295325909551773,0.009147249403565313,9.0
